subject,block_type,bin5,n,response_rate,hit_rate,fa_rate,accuracy
3062025001,full_sentence,last5,49,0.5510204081632653,0.6551724137931034,0.4,0.6326530612244898
3062025001,imagined_sentence,first5,50,0.6,0.6153846153846154,0.5833333333333334,0.52
3062025001,imagined_sentence,mid5,50,0.56,0.5,0.6363636363636364,0.44
3062025001,imagined_sentence,last5,49,0.4489795918367347,0.5238095238095238,0.39285714285714285,0.5714285714285714
3062025002,full_sentence,first5,50,0.28,0.25,0.3076923076923077,0.48
3062025002,full_sentence,mid5,50,0.18,0.25,0.11538461538461539,0.58
3062025002,full_sentence,last5,49,0.20408163265306123,0.3076923076923077,0.08695652173913043,0.5918367346938775
3062025002,imagined_sentence,first5,50,0.34,0.38461538461538464,0.2916666666666667,0.54
3062025002,imagined_sentence,mid5,50,0.38,0.25,0.5454545454545454,0.34
3062025002,imagined_sentence,last5,49,0.32653061224489793,0.38095238095238093,0.2857142857142857,0.5714285714285714
3102025001,full_sentence,first5,50,0.58,0.5925925925925926,0.5652173913043478,0.52
3102025001,full_sentence,mid5,50,0.46,0.5185185185185185,0.391304347826087,0.56
3102025001,full_sentence,last5,49,0.4897959183673469,0.5714285714285714,0.42857142857142855,0.5714285714285714
3102025001,imagined_sentence,first5,50,0.3,0.3103448275862069,0.2857142857142857,0.48
3102025001,imagined_sentence,mid5,50,0.4,0.3181818181818182,0.4642857142857143,0.44
3102025001,imagined_sentence,last5,49,0.40816326530612246,0.43478260869565216,0.38461538461538464,0.5306122448979592
3102025002,full_sentence,first5,50,0.46,0.4444444444444444,0.46875,0.5
3102025002,full_sentence,mid5,50,0.48,0.5483870967741935,0.3684210526315789,0.58
3102025002,full_sentence,last5,49,0.5918367346938775,0.6153846153846154,0.5652173913043478,0.5306122448979592
3102025002,imagined_sentence,first5,50,0.7,0.7407407407407407,0.6521739130434783,0.56
3102025002,imagined_sentence,mid5,50,0.24,0.32,0.16,0.58
3102025002,imagined_sentence,last5,49,0.3673469387755102,0.4090909090909091,0.3333333333333333,0.5510204081632653
3132025001,full_sentence,first5,50,0.52,0.6666666666666666,0.38461538461538464,0.64
3132025001,full_sentence,mid5,50,0.42,0.4166666666666667,0.4230769230769231,0.5
