subject,block_type,stimulus_number,true_label,subject_response,site,called_target,true_target,trial_index,pearson_raw_contrast,lagged_xcorr_max_contrast,envelope_corr_contrast,log_spectrum_corr_contrast,mfcc_cosine_contrast,trial_index_z
2242025001,full_sentence,2262329,distractor,target,Oberlin,1,0,60,-0.0013871709816157818,2.537667751312256e-05,0.005223274230957031,0.002733394503593445,-0.009721841663122177,-0.3243992899560389
2242025001,full_sentence,177749,target,distractor,Oberlin,0,1,61,0.004160890821367502,0.0011659637093544006,0.013466715812683105,0.0005147457122802734,0.009590941481292248,-0.30122791210203614
2242025001,full_sentence,270720,target,distractor,Oberlin,0,1,62,0.00488919485360384,0.0005708076059818268,0.01874864101409912,0.0009348392486572266,0.041121773421764374,-0.27805653424803334
2242025001,full_sentence,1708892,distractor,distractor,Oberlin,0,0,63,-0.005919868126511574,0.0012333840131759644,0.0039045214653015137,0.003558740019798279,-0.017413495108485222,-0.2548851563940306
2242025001,full_sentence,972144,distractor,distractor,Oberlin,0,0,64,-0.0005974006489850581,-0.0006760954856872559,0.0005831718444824219,-0.0019102096557617188,0.06217801198363304,-0.23171377854002778
2242025001,full_sentence,1976046,target,target,Oberlin,1,1,65,0.004613345488905907,-0.00010391697287559509,0.00944739580154419,-0.0025360435247421265,0.04087639972567558,-0.208542400686025
2242025001,full_sentence,1585751,target,distractor,Oberlin,0,1,66,0.006701669190078974,-0.0005575418472290039,0.0067656636238098145,0.007303833961486816,-0.015745218843221664,-0.18537102283202223
2242025001,full_sentence,1667784,distractor,target,Oberlin,1,0,67,0.0036745478864759207,0.0011680163443088531,0.004717826843261719,0.0012089908123016357,0.010185844264924526,-0.16219964497801945
2242025001,full_sentence,2097875,distractor,target,Oberlin,1,0,68,0.001610197825357318,-0.0003494955599308014,-0.014264225959777832,-0.001626044511795044,-0.0015870393253862858,-0.13902826712401667
2242025001,full_sentence,2594432,distractor,target,Oberlin,1,0,69,-0.0021857444662600756,0.001429971307516098,-0.0014091730117797852,0.0022683441638946533,0.025976626202464104,-0.11585688927001389
2242025001,full_sentence,389188,target,target,Oberlin,1,1,70,0.0057050688192248344,-0.0004758387804031372,0.010346293449401855,0.0052423179149627686,0.05379108712077141,-0.09268551141601111
2242025001,full_sentence,1784932,target,target,Oberlin,1,1,71,0.00826503336429596,0.0005279816687107086,0.014064192771911621,-0.00810040533542633,-0.03474564850330353,-0.06951413356200833
2242025001,full_sentence,2578028,distractor,target,Oberlin,1,0,72,-0.0023277150467038155,0.0008820593357086182,0.002590358257293701,-0.003184378147125244,0.013234623707830906,-0.046342755708005556
2242025001,full_sentence,1531735,distractor,target,Oberlin,1,0,73,0.0024584541097283363,0.00206640362739563,0.016878604888916016,4.884600639343262e-05,0.06743429601192474,-0.023171377854002778
2242025001,full_sentence,920816,distractor,distractor,Oberlin,0,0,74,0.0004382518818601966,-0.000714574009180069,-0.009669303894042969,-0.001708492636680603,0.0010518021881580353,0.0
2242025001,full_sentence,854858,target,distractor,Oberlin,0,1,75,0.004279268905520439,-0.0003310367465019226,0.001981973648071289,0.006428569555282593,-0.011801299639046192,0.023171377854002778
2242025001,full_sentence,2209737,target,distractor,Oberlin,0,1,76,0.0068509820848703384,-0.00030575692653656006,0.014764249324798584,0.0027736127376556396,-0.03217746689915657,0.046342755708005556
2242025001,full_sentence,2514716,distractor,distractor,Oberlin,0,0,77,-0.0015101931057870388,-6.873905658721924e-05,0.014502406120300293,-0.0028288662433624268,0.012053372338414192,0.06951413356200833
2242025001,full_sentence,2490211,target,target,Oberlin,1,1,78,0.006148866377770901,0.00025686994194984436,0.0025593042373657227,-0.006157621741294861,0.033507827669382095,0.09268551141601111
2242025001,full_sentence,1361028,target,distractor,Oberlin,0,1,79,0.007025823928415775,-0.00035200268030166626,-0.007496654987335205,-0.0045547932386398315,-0.008036733604967594,0.11585688927001389
2242025001,full_sentence,1755600,distractor,target,Oberlin,1,0,80,-0.0033383239060640335,0.000217389315366745,0.0015180110931396484,-0.00010870397090911865,0.029880359768867493,0.13902826712401667
2242025001,full_sentence,1377011,target,target,Oberlin,1,1,81,0.0068147312849760056,0.0010468363761901855,0.0052054524421691895,-0.000700041651725769,0.018092161044478416,0.16219964497801945
2242025001,full_sentence,633301,distractor,distractor,Oberlin,0,0,82,0.0044973501935601234,-0.00028226524591445923,0.0014011859893798828,0.00021189451217651367,-0.00881352461874485,0.18537102283202223
2242025001,full_sentence,1832684,distractor,distractor,Oberlin,0,0,83,-0.0012015579268336296,-0.0008124448359012604,-0.007676661014556885,0.0014278292655944824,-0.025073716416954994,0.208542400686025
2242025001,full_sentence,137369,target,distractor,Oberlin,0,1,84,0.0040670158341526985,0.0007222741842269897,0.01119154691696167,0.000994369387626648,0.009028214029967785,0.23171377854002778
2242025001,full_sentence,1989589,target,distractor,Oberlin,0,1,85,0.0018433090299367905,0.000726647675037384,0.0005728006362915039,-0.0033771544694900513,-0.03474849835038185,0.2548851563940306
2242025001,full_sentence,2457843,distractor,target,Oberlin,1,0,86,0.0057766311801970005,-0.0003636553883552551,0.0006195306777954102,-0.00425836443901062,0.0032923901453614235,0.27805653424803334
2242025001,full_sentence,2354618,target,target,Oberlin,1,1,87,0.0039701457135379314,-0.00015733018517494202,0.014433681964874268,0.003180399537086487,-0.011976871639490128,0.30122791210203614
2242025001,full_sentence,966129,distractor,distractor,Oberlin,0,0,88,0.005730850622057915,0.0011343732476234436,-0.011158645153045654,0.0011778771877288818,0.007221920415759087,0.3243992899560389
2242025001,full_sentence,2098961,distractor,distractor,Oberlin,0,0,89,0.005320478696376085,0.001072663813829422,-0.006091058254241943,0.0006926208734512329,0.00010747648775577545,0.3475706678100417
2242025001,full_sentence,1995467,distractor,target,Oberlin,1,0,90,0.006955384276807308,0.0009288489818572998,-0.0069762468338012695,-0.001142054796218872,0.019672904163599014,0.37074204566404445
2242025001,full_sentence,2204030,distractor,distractor,Oberlin,0,0,91,0.00025896052829921246,0.0013270601630210876,0.0006782412528991699,-0.00031651556491851807,-0.029740478843450546,0.39391342351804726
2242025001,full_sentence,681938,target,distractor,Oberlin,0,1,92,0.0029054288752377033,0.00030324235558509827,0.0004392266273498535,0.0013222843408584595,0.004595055244863033,0.41708480137205
2242025001,full_sentence,1950306,target,distractor,Oberlin,0,1,93,0.009691261686384678,-0.002515677362680435,0.0005050301551818848,-0.006868287920951843,-0.022549763321876526,0.4402561792260528
2242025001,full_sentence,724605,target,target,Oberlin,1,1,94,0.00950548890978098,0.00016560032963752747,0.017552614212036133,0.0010729730129241943,-0.06294725090265274,0.46342755708005556
2242025001,full_sentence,1879648,distractor,target,Oberlin,1,0,95,0.003894842229783535,-0.0005583390593528748,0.004979729652404785,-0.00392383337020874,0.009564023464918137,0.48659893493405837
2242025001,full_sentence,2433065,target,target,Oberlin,1,1,96,0.006428975611925125,0.0008474625647068024,0.0067931413650512695,-0.0006210952997207642,-0.0002827867865562439,0.5097703127880612
2242025001,full_sentence,2241916,target,distractor,Oberlin,0,1,97,-0.0005686862859874964,0.0006204284727573395,-0.0053977370262146,-0.004229307174682617,0.002591235563158989,0.5329416906420639
2242025001,full_sentence,2253127,target,target,Oberlin,1,1,98,0.003115796484053135,0.001846160739660263,0.006101250648498535,-0.002015739679336548,0.003032935783267021,0.5561130684960667
2242025001,full_sentence,2534050,target,distractor,Oberlin,0,1,99,0.005330981686711311,0.0006265752017498016,0.006060183048248291,0.00045196712017059326,-0.00792280025780201,0.5792844463500695
2242025001,full_sentence,19389,target,distractor,Oberlin,0,1,100,0.003988973796367645,0.00014048442244529724,0.006408512592315674,-0.00032936036586761475,0.019833076745271683,0.6024558242040723
2242025001,full_sentence,1500770,target,distractor,Oberlin,0,1,101,0.006463227327913046,0.0011990554630756378,-0.014235198497772217,-0.006982147693634033,0.01529153622686863,0.625627202058075
2242025001,full_sentence,1152401,target,distractor,Oberlin,0,1,102,0.008309557102620602,-0.0007904022932052612,-0.008782625198364258,0.002879902720451355,0.014137085527181625,0.6487985799120778
2242025001,full_sentence,314781,target,distractor,Oberlin,0,1,103,0.0012958479346707463,0.002056807279586792,-0.0008871555328369141,0.0028038769960403442,-0.0438142754137516,0.6719699577660806
2242025001,full_sentence,2152103,distractor,target,Oberlin,1,0,104,0.003362957388162613,-9.449943900108337e-05,0.020203590393066406,0.006398916244506836,-0.008336825296282768,0.6951413356200834
2242025001,full_sentence,1455560,distractor,distractor,Oberlin,0,0,105,-0.0010764028411358595,-3.487616777420044e-05,-0.0020031332969665527,-0.0033362358808517456,-0.031717415899038315,0.7183127134740861
2242025001,full_sentence,341881,target,distractor,Oberlin,0,1,106,0.005620519630610943,0.0013453885912895203,-0.005647718906402588,-0.00025697052478790283,-0.008029192686080933,0.7414840913280889
2242025001,full_sentence,351794,distractor,target,Oberlin,1,0,107,-0.0017307493835687637,0.0004022456705570221,0.014254212379455566,-0.0002923011779785156,-0.07908004522323608,0.7646554691820917
