site,subject,block_type,model,n_trials,cv_auc,cv_auc_std
Oberlin,3172026001,imagined_sentence,single_lagged_xcorr_max,149,0.6269856459330143,0.11658220470147833
Oberlin,3172026001,imagined_sentence,single_envelope_corr,149,0.5757894736842105,0.10595492570424338
Oberlin,3172026001,imagined_sentence,single_log_spectrum_corr,149,0.570334928229665,0.07494723157589003
Oberlin,3172026001,imagined_sentence,single_mfcc_cosine,149,0.5733014354066986,0.13412581655761366
Oberlin,3172026001,imagined_sentence,all_metrics,149,0.6371291866028708,0.10631299011383528
Oberlin,3192026001,full_sentence,true_label_baseline,149,0.5371292106586225,0.07608606882068443
Oberlin,3192026001,full_sentence,trial_order_only,149,0.5807482822188704,0.0775144980561422
Oberlin,3192026001,full_sentence,single_pearson_raw,149,0.5919641360817831,0.07551356698764093
Oberlin,3192026001,full_sentence,single_lagged_xcorr_max,149,0.5732403217697335,0.08351809757078682
Oberlin,3192026001,full_sentence,single_envelope_corr,149,0.577534774593598,0.06590159759157607
Oberlin,3192026001,full_sentence,single_log_spectrum_corr,149,0.5787078934137757,0.07215725225007327
Oberlin,3192026001,full_sentence,single_mfcc_cosine,149,0.5761018937489526,0.043136172058290026
Oberlin,3192026001,full_sentence,all_metrics,149,0.5725113122171945,0.06678136531703406
Oberlin,3192026001,imagined_sentence,true_label_baseline,149,0.45529761904761906,0.03235402416730558
Oberlin,3192026001,imagined_sentence,trial_order_only,149,0.4633809523809524,0.08552300231763398
Oberlin,3192026001,imagined_sentence,single_pearson_raw,149,0.46866269841269836,0.07587834916833636
Oberlin,3192026001,imagined_sentence,single_lagged_xcorr_max,149,0.4905912698412699,0.09154260174360575
Oberlin,3192026001,imagined_sentence,single_envelope_corr,149,0.38313888888888886,0.09905575903924525
Oberlin,3192026001,imagined_sentence,single_log_spectrum_corr,149,0.4231587301587302,0.09169873554350215
Oberlin,3192026001,imagined_sentence,single_mfcc_cosine,149,0.43424603174603177,0.10395939014681482
Oberlin,3192026001,imagined_sentence,all_metrics,149,0.3987738095238095,0.09248217637926673
Oberlin,3202026001,full_sentence,true_label_baseline,149,0.5423844537815127,0.1101886888640628
Oberlin,3202026001,full_sentence,trial_order_only,149,0.5504928894634776,0.06826439412440372
Oberlin,3202026001,full_sentence,single_pearson_raw,149,0.5565206851971557,0.07600832874261962
Oberlin,3202026001,full_sentence,single_lagged_xcorr_max,149,0.5355284421460892,0.06402841247036413
Oberlin,3202026001,full_sentence,single_envelope_corr,149,0.4654654169360052,0.03536313982977595
Oberlin,3202026001,full_sentence,single_log_spectrum_corr,149,0.4907845830639948,0.08728980639094726
Oberlin,3202026001,full_sentence,single_mfcc_cosine,149,0.5042865223012282,0.07190697238901904
Oberlin,3202026001,full_sentence,all_metrics,149,0.40747818358112464,0.056936491395861155
Oberlin,3202026001,imagined_sentence,true_label_baseline,149,0.42952380952380953,0.04775219480655876
Oberlin,3202026001,imagined_sentence,trial_order_only,149,0.4775238095238096,0.11688721621799686
Oberlin,3202026001,imagined_sentence,single_pearson_raw,149,0.4996190476190477,0.09247383101736657
Oberlin,3202026001,imagined_sentence,single_lagged_xcorr_max,149,0.48311111111111116,0.13541778062219884
Oberlin,3202026001,imagined_sentence,single_envelope_corr,149,0.48984126984126986,0.12988216843353337
Oberlin,3202026001,imagined_sentence,single_log_spectrum_corr,149,0.5855873015873015,0.11411620586232792
Oberlin,3202026001,imagined_sentence,single_mfcc_cosine,149,0.4902857142857142,0.12106016944416663
Oberlin,3202026001,imagined_sentence,all_metrics,149,0.48730158730158735,0.06505938524119102
Oberlin,3202026002,full_sentence,true_label_baseline,149,0.5647664835164836,0.10514537904067424
Oberlin,3202026002,full_sentence,trial_order_only,149,0.5609203296703296,0.09732450633767797
Oberlin,3202026002,full_sentence,single_pearson_raw,149,0.6236950549450551,0.05997196744816627
Oberlin,3202026002,full_sentence,single_lagged_xcorr_max,149,0.5567994505494506,0.1249336785174245
