subset,quest,perf,n,rho,p
D_stably_aligned,BAIS_C,hit_rate,15,0.6344086021505376,0.011076051595473892
D_stably_aligned,BAIS_C,fa_rate,15,0.4578853046594982,0.0861023675242038
D_stably_aligned,BAIS_C,criterion,15,-0.6028632186656164,0.017366184212913065
D_stably_aligned,VHQ,d_prime,15,0.10840855950686559,0.7005514108927746
D_stably_aligned,VHQ,cos_ci_true,15,0.12828346208312427,0.6486579548084468
D_stably_aligned,VHQ,cos_w_true,15,-0.3107712039196814,0.25957550850205385
D_stably_aligned,VHQ,beta_truetarget,15,0.09214727558083576,0.7439558247871756
D_stably_aligned,VHQ,accuracy,15,0.03305819968587611,0.9068940189296235
D_stably_aligned,VHQ,hit_rate,15,0.2407359103076652,0.3874262300962133
D_stably_aligned,VHQ,fa_rate,15,0.31585275450141037,0.25145160400266287
D_stably_aligned,VHQ,criterion,15,-0.33064610649594,0.2286993708736231
D_stably_aligned,TAS,d_prime,15,0.15398444077909884,0.5837422920648788
D_stably_aligned,TAS,cos_ci_true,15,0.23813872818162962,0.39272344450260993
D_stably_aligned,TAS,cos_w_true,15,-0.1414508235063815,0.6150694535697915
D_stably_aligned,TAS,beta_truetarget,15,0.14503185701287216,0.6060526066415629
D_stably_aligned,TAS,accuracy,15,0.09191029017962622,0.7445940494761202
D_stably_aligned,TAS,hit_rate,15,0.060986571612774786,0.8290592041056094
D_stably_aligned,TAS,fa_rate,15,0.05112109679306122,0.8564213575338665
D_stably_aligned,TAS,criterion,15,-0.06087756961034141,0.8293605864458151
D_stably_aligned,LSHS,d_prime,15,0.2071428571428571,0.4588428049634703
D_stably_aligned,LSHS,cos_ci_true,15,0.22142857142857136,0.42771371901637
D_stably_aligned,LSHS,cos_w_true,15,-0.1607142857142857,0.5671967045803448
D_stably_aligned,LSHS,beta_truetarget,15,0.17857142857142855,0.5242843600465525
D_stably_aligned,LSHS,accuracy,15,0.12887381707493736,0.6471378923595856
D_stably_aligned,LSHS,hit_rate,15,0.13953510699085483,0.6199142996937591
