stimulus_number,r_score,mean_r_to_others,y_pred,residual
1050074,0.0707895904779434,0.003258296552040875,0.005479991878780658,-0.0022216953267397825
1905895,0.0706826895475387,0.006638896296477378,0.005476340076980514,0.0011625562194968646
1989589,0.0705960169434547,0.005669925999877068,0.005473379287299649,0.0001965467125774195
1950306,0.0705738216638565,0.0074906448919694465,0.005472621082841703,0.002018023809127744
2212503,0.070531390607357,0.005023903026321038,0.005471171611748044,-0.00044726858542700615
724605,0.0705155283212661,0.00588128848249809,0.005470629746259299,0.00041065873623879166
780158,0.070480965077877,0.004377880566270156,0.005469449044520321,-0.0010915684782501645
1604178,0.0703924894332885,0.00647987380101772,0.005466426661862341,0.0010134471391553788
685150,0.0703596994280815,0.005476055301222063,0.005465306535034741,1.0748766187322449e-05
2490211,0.0703465640544891,0.006679960554719795,0.005464857822560971,0.001215102732158824
32605,0.0703125894069671,0.004347676442345791,0.005463697227620305,-0.0011160207852745144
2455086,0.0702902972698211,0.005777543824558536,0.0054629357144487115,0.0003146081101098241
681938,0.0702606067061424,0.003336067078120282,0.005461921466457804,-0.002125854388337522
594320,0.0702521577477455,0.006131056118098117,0.005461632844821244,0.0006694232732768731
237223,0.0702433884143829,0.006248948986677463,0.005461333278978006,0.0007876157076994565
2209737,0.0702066421508789,0.005087629520476174,0.0054600780039237625,-0.00037244848344758844
393679,0.0701612010598182,0.007199684664157909,0.005458525708190623,0.0017411589559672858
2107267,0.070152923464775,0.002665865423120572,0.005458242940432052,-0.00279237751731148
