stimulus_number,label,projection_coeff
2233970,distractor,5.458461455150802e-06
2248228,distractor,-3.422485467111813e-06
2273177,distractor,6.2677987577151796e-06
230438,distractor,-1.419366374332021e-06
2304969,distractor,-2.613030340518305e-06
2306490,distractor,8.66581548403463e-08
2318346,distractor,-5.95064696631468e-06
2389297,distractor,-2.761178224764033e-06
2442361,distractor,9.980771087411578e-07
2455734,distractor,2.849370637478268e-06
2485538,distractor,-8.922818258602297e-07
2514632,distractor,2.4145708458440253e-06
2519736,distractor,4.142262707201489e-06
2536695,distractor,2.3888396010858306e-07
2540015,distractor,-6.567177358965144e-06
2583835,distractor,2.6065692133773097e-06
2608377,distractor,-2.784559139550932e-06
2685736,distractor,-8.703365403503474e-07
290031,distractor,-4.206502583479446e-06
291265,distractor,-2.979866867487044e-06
334176,distractor,1.5371082307970358e-06
383122,distractor,-2.633840866977142e-06
458777,distractor,1.3417761108360852e-06
476253,distractor,-8.013228281661456e-07
524535,distractor,-1.2232831923515053e-06
52957,distractor,1.553086168439066e-06
537598,distractor,-1.820271337390553e-06
550864,distractor,-7.2986571464117794e-06
606192,distractor,1.349046734769131e-06
612648,distractor,-6.034016547020546e-06
627157,distractor,9.831191816100632e-07
66635,distractor,-1.0387255564878369e-07
708386,distractor,-9.413269603210101e-07
715678,distractor,1.4378364337152674e-06
74527,distractor,3.524923878231468e-06
746920,distractor,-9.57092687468847e-07
770646,distractor,2.133336193312766e-06
805150,distractor,7.5051372665016246e-06
813995,distractor,4.6800608658004115e-06
823780,distractor,1.5723521499981569e-06
832705,distractor,2.828104828829046e-07
83647,distractor,-1.9609140101319685e-06
846716,distractor,5.666397036290158e-07
852895,distractor,5.385274056768357e-06
876536,distractor,-4.291668583205632e-06
888164,distractor,-2.384759028786313e-06
