stimulus_number,label,pearson_r_to_template
2241357,target,0.07157532798930374
2260363,target,0.07096478696605704
2274164,target,0.07132249161866047
2357409,target,0.07327657402634308
2365445,target,0.07645632056356802
237223,target,0.07024879062982604
2375287,target,0.07126719426806835
2417183,target,0.08302367057573697
2522869,target,0.07341426895786188
279298,target,0.07179130782972533
307913,target,0.07565386722811952
32605,target,0.07031581548188191
338947,target,0.07906996018077948
424719,target,0.07247203645064754
435296,target,0.07338801530113939
592916,target,0.07364479647704618
594320,target,0.07025645707176381
603509,target,0.07111121548970954
616206,target,0.07316990114267952
6207,target,0.07264359212972016
685150,target,0.07035712993588436
696985,target,0.08157627232841033
732981,target,0.08022400055856241
744480,target,0.07417199864278895
754888,target,0.07143959332263472
765496,target,0.07279151113322141
776327,target,0.0718319706283608
780158,target,0.07048441911760314
785460,target,0.08061538374488557
894078,target,0.07658222302333784
955718,target,0.08294747892196794
988974,target,0.07118422915363423
1067883,distractor,1.95609031665607e-06
1154680,distractor,5.112179517806695e-07
1248677,distractor,8.582168765781766e-07
1285990,distractor,1.5408739146398343e-06
1286055,distractor,3.00852335922714e-06
1324224,distractor,-5.572267585759669e-06
1372543,distractor,3.155129209547053e-06
144254,distractor,6.223767311666975e-06
1455560,distractor,-7.197256085728597e-06
1531735,distractor,-1.2253273373626083e-06
1559140,distractor,3.978273692363879e-06
1560586,distractor,3.039980197646827e-06
1617401,distractor,-4.1074036020386645e-06
1633194,distractor,-5.323699855589933e-06
1667784,distractor,2.102456527663249e-06
1673452,distractor,-4.620235723203428e-06
1673472,distractor,5.618100248298147e-07
1708892,distractor,9.629302313383242e-07
1717516,distractor,-1.5745380168999748e-06
1755600,distractor,-3.390999364161554e-07
1782091,distractor,-1.3359746055510886e-06
1789042,distractor,-4.2100570276501145e-06
1797030,distractor,2.187801411007717e-06
1832684,distractor,1.8150906340259551e-06
1845027,distractor,1.1907355933725439e-06
185130,distractor,-2.107791551849564e-06
1879648,distractor,5.500149590026426e-06
1893147,distractor,-4.073461328402833e-06
1921945,distractor,2.0749727116381456e-07
1974580,distractor,-2.7588603241160414e-07
1995467,distractor,-1.3671795595429637e-06
2034167,distractor,1.558898843238149e-06
2097875,distractor,-8.601155810708527e-07
2098961,distractor,-5.167779740470474e-06
2118128,distractor,-4.130786893403494e-06
2152103,distractor,2.677564244100636e-07
2184351,distractor,-5.148370622515275e-06
2204030,distractor,3.372798009878414e-06
2262329,distractor,1.9028002987090537e-06
2380621,distractor,-2.5046683818320467e-06
2416540,distractor,-4.567038407320319e-06
2456914,distractor,1.8539960880241402e-07
2457843,distractor,-1.5937180900642278e-06
2514716,distractor,3.53022137653718e-06
254758,distractor,1.1429673525409356e-06
2557564,distractor,-1.250973256036042e-06
2578028,distractor,-3.0786384969255787e-06
2594432,distractor,-2.010978268751802e-06
2634690,distractor,-1.6365091809146179e-06
2645024,distractor,1.6608278093676113e-06
320025,distractor,3.3670802782482384e-06
323739,distractor,-1.6910700576296817e-06
33624,distractor,5.539791829925348e-06
351794,distractor,-2.803267128283042e-07
351826,distractor,5.144291423713615e-06
364046,distractor,-1.8182568399700838e-06
390337,distractor,-2.4492544039127206e-06
417922,distractor,-2.206659117167352e-06
490292,distractor,5.515825550911693e-06
